model,ablation,image_size,path,pixel_acc,miou,dataset_fps,cpu_fps,cpu_latency_mean_ms,cpu_latency_p50_ms,cpu_latency_p95_ms,cpu_latency_p99_ms,gpu_fps,gpu_latency_mean_ms,gpu_latency_p50_ms,gpu_latency_p95_ms,gpu_latency_p99_ms,iou_00,iou_01,iou_02,iou_03,iou_04,iou_05,iou_06,iou_07,iou_08,iou_09,iou_10,iou_11,iou_12,iou_13,iou_14,iou_15,iou_16,iou_17,iou_18
ENet,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/ENet/ENet_1024x2048/metrics.txt,0.831965,0.409818,84.0,0.83,1204.59,1180.54,1330.756,1443.88,85.07,11.755,11.755,11.779,11.787,0.888703,0.58552,0.731561,0.182252,0.271045,0.409518,0.193867,0.46619,0.676019,0.353047,0.866197,0.455849,0.175416,0.649934,0.069899,0.296715,0.100856,0.042842,0.371102
ENetv2,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/ENetv2/ENetv2_1024x2048/metrics.txt,0.740513,0.304447,132.23,1.11,902.681,902.204,934.98,951.205,134.5,7.435,7.434,7.452,7.458,0.777098,0.388129,0.640218,0.10545,0.164799,0.264953,0.137763,0.351583,0.580355,0.286531,0.77215,0.269349,0.064903,0.520026,0.034698,0.139028,0.023366,0.047492,0.216598
ENetv3,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/ENetv3/ENetv3_1024x2048/metrics.txt,0.441911,0.137,81.39,1.76,568.431,568.076,578.117,587.014,81.92,12.207,12.208,12.221,12.228,0.459248,0.137324,0.305361,0.005302,0.004591,0.112274,0.018695,0.092585,0.232731,0.212087,0.666703,0.058327,0.0,0.23983,0.008201,0.008827,0.004234,0.000257,0.036432
FAscnn_pp_V13,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V13/FAscnn_pp_V13_1024x2048/metrics.txt,0.834857,0.401813,26.79,0.86,1157.478,1157.231,1169.127,1172.304,27.14,36.839,36.834,36.897,36.919,0.902175,0.567078,0.766372,0.237509,0.237882,0.243948,0.215529,0.366378,0.739861,0.335469,0.823114,0.22226,0.132489,0.698007,0.229337,0.326807,0.294918,0.065629,0.229677
FAscnn_pp_V14,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V14/FAscnn_pp_V14_1024x2048/metrics.txt,0.820437,0.386716,26.64,0.78,1289.238,1290.167,1304.383,1308.951,26.77,37.359,37.358,37.429,37.453,0.874842,0.48232,0.751657,0.152018,0.220102,0.208819,0.229023,0.388445,0.690482,0.357246,0.835904,0.244983,0.075718,0.76743,0.306256,0.393408,0.130303,0.047578,0.191064
FAscnn_pp_V15,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V15/FAscnn_pp_V15_1024x2048/metrics.txt,0.337158,0.135992,96.74,1.83,545.34,538.399,583.241,586.477,97.46,10.26,10.26,10.279,10.288,0.15825,0.145903,0.351377,0.02716,0.059298,0.103569,0.063339,0.237406,0.260947,0.165231,0.522318,0.063995,0.000531,0.327832,0.002638,0.030786,0.006218,5.5e-05,0.056998
FAscnn_pp_V16,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V16/FAscnn_pp_V16_1024x2048/metrics.txt,0.588189,0.209666,66.14,1.2,834.653,825.179,928.914,935.617,66.74,14.983,14.983,15.001,15.006,0.673664,0.290468,0.435527,0.033435,0.061622,0.217637,0.088804,0.315539,0.302859,0.251641,0.60825,0.144506,0.001132,0.373405,0.019641,0.056747,0.015847,0.0,0.092927
FAscnn_pp_V17,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V17/FAscnn_pp_V17_1024x2048/metrics.txt,0.856917,0.445239,339.29,2.33,429.949,429.967,433.999,436.276,352.01,2.841,2.84,2.854,2.86,0.911936,0.571239,0.756187,0.1362,0.23523,0.354916,0.270882,0.459422,0.729066,0.385117,0.885823,0.473661,0.184867,0.794456,0.230513,0.413129,0.153639,0.034354,0.478897
FAscnn_pp_V18,none,1024x2048,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V18_1024x2048/metrics.txt,0.949315,0.706789,325.37,2.14,467.93,468.045,472.084,473.817,343.17,2.914,2.913,2.93,2.934,0.976953,0.81758,0.905275,0.503597,0.527102,0.547775,0.589274,0.687372,0.90986,0.601273,0.941896,0.733135,0.479018,0.923482,0.692398,0.749838,0.690771,0.48345,0.668934
FAscnn_pp_V18_512x1024,none,512x1024,/home/jan/Informatyka/ML/segmentation/FAMB-fast-segmentation/praca_licencjacka/cała_praca/../../results/FAscnn_pp_V18_512x1024/FAscnn_pp_V18_512x1024_512x1024/metrics.txt,0.928157,0.605213,394.46,10.24,97.682,97.285,99.449,100.1,557.54,1.794,1.791,1.824,1.834,0.963548,0.732326,0.873054,0.47827,0.427481,0.392977,0.363824,0.534262,0.879999,0.545693,0.911927,0.608832,0.360122,0.881452,0.635582,0.631777,0.425093,0.309174,0.543658
